date,j,I_set,time_start,I_start,V_start,cathV_start,anodeV_start,O2_start,T_start,time_stop,I_stop,V_stop,cathV_stop,anodeV_stop,O2_stop,T_stop,hours,T_avg,S_avg,O2_diff,NO3+NO2_diff,NH4_diff,PO4_diff,DIC_diff,TA_diff,spec_pH_diff,pH_diff,pCO2_diff,HCO3_diff,CO3_diff,OmegaAragonite_diff,OmegaCalcite_diff
2023-08-30T00:00:00Z,0.5,1.1,01:02:00,0.9,1.475,-1.055,0.432,193.31873134587394,27.97,03:02:00,0.9,1.596,-1.059,0.551,198.4453817136485,25.9,2,26.935,32.87460291325222,5.126650367774545,-0.34213098729227687,1.8475073313782993,0.2688172043010753,4.378498125049649,8.62494430416109,-6.105034731032852e-4,-0.001108094786177847,-63.70292356123207,3.121865439654429e-6,2.0787753724015414e-6,0.0030783290991349688,0.029672631800911287
2023-08-30T00:00:00Z,0,0,01:02:00,0,0.641,-0.558,0.086,197.0898359614505,27.97,03:02:00,0,0.645,-0.569,0.068,197.62366170655264,25.9,2,26.935,32.85474716756741,0.5338257451021491,-0.3030303030303023,2.961876832844575,0.3079178885630499,3.043971859639522,10.993947034643043,7.107046508253781e-4,-0.0013274957281371683,-75.8342336312362,-3.2519487917683637e-7,4.527027539621563e-6,0.043222860625587334,0.09104377654327811
2023-08-30T00:00:00Z,1,2.2,01:02:00,2.1,2.095,-1.134,0.931,203.24269086054915,27.97,03:02:00,2.1,2.114,-1.125,0.955,225.7675719495856,25.9,2,26.935,32.83243713788775,22.524881089036455,-1.0263929618768326,1.2903225806451615,0.35679374389051816,1.4290765693344802,-9.199481589915194,0.0012118917950273483,-2.905386482300308e-4,-20.029301065683626,8.775878662150346e-6,-7.754537276223112e-6,-0.15449240332833192,-0.20897419623900637
2023-08-31T00:00:00Z,0,0,01:08:00,0,0.758,-0.625,0.142,203.3079777711716,28.01,03:12:00,0,0.801,-0.646,0.158,200.8910107842304,26.39,2.066666666666667,27.200000000000003,33.16246988729071,-2.416966986941219,0.3714565004887582,1.6324535679374388,0.12707722385141743,9.997908222831448,8.8572107988266,-3.7463353826197755e-4,-6.027746886198358e-4,-34.661081114755916,1.1337051047006184e-5,-1.1680569589974006e-6,-0.04339424875318265,-0.04653798184145774
2023-08-31T00:00:00Z,3,6.5,01:08:00,6,2.247,-1.137,1.104,196.36575413996084,28.01,03:12:00,6,2.267,-1.121,1.12,201.90972787745676,26.39,2.066666666666667,27.200000000000003,33.103423257054786,5.543973737495918,0.591397849462366,0.884652981427175,0.03910068426197459,-3.966882222061676,-63.977203557437406,0.00529016397202113,0.0037499188556260553,201.97436325720616,2.8753942209604894e-5,-3.9094550572872357e-5,-0.6548681471735867,-0.9727086825747819
2023-08-31T00:00:00Z,0.5,1.1,01:08:00,0.9,1.792,-1.042,0.774,197.35750037299093,28.01,03:13:00,0.9,1.927,-1.04,0.884,207.4108001808789,26.39,2.0833333333333335,27.200000000000003,33.103423257054786,10.053299807887981,-0.1397849462365588,1.1642228739002933,0.15200391006842623,-1.2426096498538604,2.717471458808177,0.0015318900062839108,-9.904414439648776e-4,-59.32698083686148,-2.3412020522268345e-6,1.9386616302358357e-6,0.008657236437103588,0.03344250947578953
2023-09-01T00:00:00Z,1,2.2,01:28:00,2.1,1.998,-1.05,0.945,196.92078775961653,28.33,06:28:00,2,2.038,-1.052,0.976,209.30170617464285,24.92,5,26.625,33.73120095853017,12.380918415026315,0.3812316715542523,2.130987292277615,0.14662756598240473,3.9604408462361533,-17.312254167657102,-6.723187933882042e-4,-2.711277738200179e-4,-21.751056769604816,1.783989242894364e-5,-1.500240278670887e-5,-0.2838299243608544,-0.38914180385903663
2023-09-01T00:00:00Z,0,0,01:28:00,0,0.611,-0.527,0.084,191.19864062030905,28.33,06:28:00,0,0.674,-0.597,0.079,204.2884916554897,24.92,5,26.625,33.72757838853872,13.089851035180658,-0.09775171065493593,1.0752688172043012,0.11730205278592377,-6.446974557352148,3.9378066894018957,-0.0020237503199559866,-0.002209140086462278,-130.23699343441479,-9.823569020787903e-6,5.350561260356789e-6,0.041855518755739674,0.10635983786709202
2023-09-01T00:00:00Z,0.5,1.1,01:28:00,0.9,1.693,-0.745,0.932,194.75031815505167,28.33,06:28:00,0.9,1.973,-1.015,0.955,218.91036733635298,24.92,5,26.625,33.776284854054815,24.160049181301304,0.1564027370478982,1.2023460410557187,0.08797653958944282,-17.442285797330136,-31.55928683234106,2.4019565390103457e-4,-7.863803835542672e-4,-57.04197517651744,-6.462346240473406e-6,-1.1085840596838752e-5,-0.2224643458713529,-0.29646208706956534
2023-09-03T00:00:00Z,1,2.2,01:29:00,2.1,1.789,-0.982,0.978,200.62826343054144,27.92,06:30:00,2.1,2.073,-1.049,0.999,207.4986267397951,25.72,5.016666666666667,26.82,33.252350278658184,6.870363309253662,-0.1270772238514173,2.482893450635386,0.09775171065493646,-8.866421845407299,-49.522339283924794,0.00398508824585759,0.0018470145350305874,91.85263569783297,1.475121310081642e-5,-2.729571700031859e-5,-0.47033981985081796,-0.6884633387707657
2023-09-03T00:00:00Z,3,6.5,01:29:00,6,2.197,-1.144,1.044,193.0798733212735,27.92,06:30:00,5.9,2.247,-1.145,1.081,202.96538961141826,25.72,5.016666666666667,26.82,33.22086044420118,9.88551629014475,0.08797653958944318,-0.08797653958944285,0.1270772238514174,-25.81271551559865,-207.13211303200796,-0.009238462613922208,0.024880627841498266,1315.6923170737246,3.89648006545811e-5,-1.0279211105834176e-4,-1.6852267460003034,-2.533469256728296
2023-09-03T00:00:00Z,3,6.5,01:29:00,6.4,2.212,-1.137,1.086,197.44999391084968,27.92,06:30:00,6.4,2.294,-1.141,1.138,209.97130153709162,25.72,5.016666666666667,26.82,33.220689297996614,12.521307626241935,0.25904203323558184,-0.19061583577712615,0.039100684261974585,-26.89599751214567,-193.83074059149112,-0.01177341938239272,0.020961904608875623,1108.1074680434676,3.7718919326595705e-5,-9.680686215918864e-5,-1.5888485677775266,-2.3870666275579975
